cat;name;size;wideness;multiple;catname;realname;description;picture;notes;categorydescription
PDIP;Plastic;8,14,16,18,20,22,24;narrow;yes;{cat};{cat}-{size} {wideness};{size}-Lead {wideness} {name} Dual In-Line Package;DIL14_Blank.png;;{name} Dual In-Line Package
PDIP;Plastic;24,28,32,40,48;wide;yes;{cat};{cat}-{size} {wideness};{size}-Lead {wideness} {name} Dual In-Line Package;DIL14_Blank.png;;{name} Dual In-Line Package
CDIP;Ceramic;8,14,16,18,20,22,24;narrow;yes;{cat};{cat}-{size} {wideness};{size}-Lead {wideness} {name} Dual In-Line Package;DIL14_Blank.png;;{name} Dual In-Line Package
CDIP;Ceramic;24,28,32,40,48;wide;yes;{cat};{cat}-{size} {wideness};{size}-Lead {wideness} {name} Dual In-Line Package;DIL14_Blank.png;;{name} Dual In-Line Package
PLCC;PLCC;20,28,32,44,52,68,84;;yes;{cat};{name}-{size};Plastic Leaded Chip Carrier;plcc.png;;{description}
CLCC;Ceramic;8,20,28,32,44;;yes;{cat};{cat}-{size};Ceramic Leadless Chip Carrier;clcc.jpg;SVG needed;{description}
QFP;PQFP;44,52,64,80;;yes;{cat};{name}-{size};Plastic Quad Flat Pack;tqfp.png;;Quad Flat Pack
QFP;TQFP;32,40,44,48,52,64,80,100,120,128,144,176;;yes;{cat};{name}-{size};Thin Quad Flat Pack;tqfp.png;;Quad Flat Pack
QFP;LQFP;32,44,48,52,64,80,100,120,128,144,160,176,208,216,256;;yes;{cat};{name}-{size};Low Profile Quad Flat Pack;tqfp.png;;Quad Flat Pack
FP;FlatPAK;;;no;{cat};{name};Flat Package MIL-STD-1835C;Ic-package-FlatPAK.png;;{description}
Computer;EISA;;;no;{cat};{name};Computer BUS;;;{description}
Computer;ISA 8bit;;;no;{cat};{name};Computer BUS;;;{description}
Computer;ISA 16bit;;;no;{cat};{name};Computer BUS;;;{description}
Computer;AGP;;;no;{cat};{name};Computer BUS;;;{description}
Computer;PCI;;;no;{cat};{name};Computer BUS;;;{description}
Computer;PCI-X;;;no;{cat};{name};Computer BUS;;;{description}
Computer;PCI-Express 1x;;;no;{cat};{name};Computer BUS;;;{description}
Computer;PCI-Express 4x;;;no;{cat};{name};Computer BUS;;;{description}
Computer;PCI-Express 8x;;;no;{cat};{name};Computer BUS;;;{description}
Computer;PCI-Express 16x;;;no;{cat};{name};Computer BUS;;;{description}
Computer;Mini-PCI;;;no;{cat};{name};Computer BUS;;;{description}
Computer;Mini-PCI-Express;;;no;{cat};{name};Computer BUS;;;{description}
SOI;SOIC;8,14,16,20,24,28,32;;yes;{cat};SO{size};Small Outline Integrated Circuit;so8.png;;{description}
SOP;TSOP;28,32,40,44,48,50;;yes;{cat};{name}-{size};Thin Small Outline Package;TSOP_32_(T1)_Blank.png;;Small Outline Package
SOP;SSOP;14,16,20,24,28,36,48,56;;yes;{cat};{name}-{size};Small Shrink Outline Package;so8.png;;Small Outline Package
SOP;TSSOP;8,10,14,16,20,24,28,44,48,56,64,80;;yes;{cat};{name}-{size};Thin Shrink Small Outlike Package;TSOP_32_(T1)_Blank.png;;Small Outline Package
BGA;BGA;;;no;{cat};{name};Ball Grid Array;Ic-package-BGA.png;;{description}
PGA;PGA;;;no;{cat};{name};Pin Grid Array;Ic-package-CPGA.png;;{description}
SOD;SOD;123,323,523,923;;yes;{cat};{name}-{size};Small Outline Diode;Ic-package-SC-79.png;;{description}
SMT;SOT;323,416,23-3;;yes;{cat};{name}-{size};Surface Mount Transistors;SOT23,346,323,416_volný_pohled.png;;{description}
SMT;SOT;23-5,353;;yes;{cat};{name}-{size};Surface Mount Transistors;SOT353_volný_pohled.png;;{description}
SMT;SOT;23-6,363;;yes;{cat};{name}-{size};Surface Mount Transistors;SOT457,363_volný_pohled.png;;{description}
SMT;SOT;23-8,28;;yes;{cat};{name}-{size};Surface Mount Transistors;SOT28_volný_pohled.png;;{description}
SMT;SOT;143,343;;yes;{cat};{name}-{size};Surface Mount Transistors;SOT143,343_volný_pohled.png;;{description}
SMT;SOT;490;;yes;{cat};{name}-{size};Surface Mount Transistors;SOT490_volný_pohled.png;;{description}
SMT;SOT;89-3;;yes;{cat};{name}-{size};Surface Mount Transistors;SOT89_volný_pohled.png;;{description}
SMT;SOT;89-5;;yes;{cat};{name}-{size};Surface Mount Transistors;SOT89-5_VOLNý_POHLED_1_K_NAHRáTí.png;;{description}
SMT;SOT;223,223-4;;yes;{cat};{name}-{size};Surface Mount Transistors;SOT223_volný_pohled.png;;{description}
SMT;SOT;223-5;;yes;{cat};{name}-{size};Surface Mount Transistors;SOT_223-5_volný_pohled.png;;{description}
SMT;SOT;223-8;;yes;{cat};{name}-{size};Surface Mount Transistors;SOT_223-5_volný_pohled.png;;{description}
SMT;SOT;82;;yes;{cat};{name}-{size};Surface Mount Transistors;Ic-package-SOT-82.png;;{description}
SMT;SOT;93;;yes;{cat};{name}-{size};Surface Mount Transistors;Ic-package-TO-218_SOT-93.png;;{description}
SMT;DPAK;;;no;{cat};{name};Decawatt Package;Ic-package-DPAK.png;;{description}
SMT;D2PAK;;;no;{cat};{name};Double Decawatt Package;Ic-package-D2PAK.png;;{description}
